date,direction,entry,exit,reason,ret_pct
2026-01-30,long,693.71,691.22,stop,-0.399
2026-02-02,long,693.84,695.45,eod_close,0.192
2026-02-03,short,693.34,689.47,eod_close,0.518
2026-02-04,short,687.83,686.11,eod_close,0.21
2026-02-05,short,678.75,677.45,eod_close,0.152
2026-02-06,long,686.5,690.6,eod_close,0.557
2026-02-09,long,691.64,693.91,eod_close,0.289
2026-02-10,long,696.16,693.46,stop,-0.429
2026-02-11,short,693.8,692.59,eod_close,0.135
2026-02-12,short,692.32,681.29,eod_close,1.553
2026-02-13,long,682.81,681.63,eod_close,-0.213
2026-02-17,short,676.46,682.8,stop,-0.977
2026-02-18,long,686.38,684.86,eod_close,-0.261
2026-02-19,long,685.82,682.47,stop,-0.528
2026-02-20,long,685.34,689.35,eod_close,0.545
2026-02-23,short,686.3,682.4,eod_close,0.528
2026-02-24,long,685.46,687.36,eod_close,0.237
2026-02-25,long,691.98,693.1,eod_close,0.122
2026-02-26,short,690.42,689.32,eod_close,0.119
2026-02-27,long,684.25,685.74,eod_close,0.178
2026-03-02,long,683.37,686.78,eod_close,0.459
2026-03-03,short,674.12,676.76,stop,-0.431
2026-03-04,long,683.52,685.16,eod_close,0.2
2026-03-05,long,685.1,681.87,stop,-0.512
2026-03-06,long,674.06,672.46,eod_close,-0.277
2026-03-09,short,662.7,667.63,stop,-0.784
2026-03-10,long,678.78,677.05,eod_close,-0.296
2026-03-11,long,678.5,676.13,stop,-0.389
2026-03-12,short,668.18,666.87,eod_close,0.157
2026-03-13,short,668.97,662.3,eod_close,0.957
2026-03-16,short,667.69,670.9,stop,-0.521
2026-03-17,short,671.91,670.75,eod_close,0.133
2026-03-18,short,667.88,661.57,eod_close,0.905
2026-03-19,long,658.95,659.72,eod_close,0.077
2026-03-20,short,653.0,648.52,eod_close,0.646
2026-03-23,long,660.25,656.07,stop,-0.673
2026-03-24,long,653.04,653.18,eod_close,-0.019
2026-03-25,short,656.42,656.72,eod_close,-0.086
2026-03-26,long,654.62,650.73,stop,-0.634
2026-03-27,short,638.59,634.08,eod_close,0.667
2026-03-30,short,634.68,632.02,eod_close,0.379
2026-03-31,long,642.69,650.24,eod_close,1.134
2026-04-01,long,656.05,656.14,eod_close,-0.027
2026-04-02,long,649.89,654.36,eod_close,0.648
2026-04-06,long,658.55,655.53,stop,-0.499
2026-04-07,short,654.01,657.58,stop,-0.586
2026-04-08,short,673.97,675.86,eod_close,-0.32
2026-04-09,short,674.43,675.79,stop,-0.242
2026-04-10,short,680.18,681.93,stop,-0.297
2026-04-13,long,679.73,686.0,eod_close,0.882
2026-04-14,long,689.96,693.63,eod_close,0.492
2026-04-15,long,696.35,699.95,eod_close,0.477
2026-04-16,long,701.3,701.55,eod_close,-0.004
2026-04-17,long,708.35,709.98,eod_close,0.19
2026-04-20,short,708.23,708.69,eod_close,-0.105
2026-04-21,long,710.86,708.75,stop,-0.338
2026-04-22,long,709.48,710.54,eod_close,0.109
2026-04-23,long,711.28,709.26,stop,-0.325
2026-04-24,long,711.16,713.97,eod_close,0.355
2026-04-27,short,712.6,714.41,stop,-0.294
2026-04-28,short,710.79,711.68,eod_close,-0.165
2026-04-29,long,711.18,709.66,stop,-0.254
2026-04-30,short,710.78,714.73,stop,-0.596
2026-05-01,long,724.24,720.75,stop,-0.522
2026-05-04,long,720.78,719.25,stop,-0.252
2026-05-05,long,722.79,723.71,eod_close,0.087
2026-05-06,long,729.8,733.77,eod_close,0.504
2026-05-07,long,735.12,733.55,stop,-0.254
2026-05-08,long,736.66,737.53,eod_close,0.078
2026-05-11,long,739.14,739.21,eod_close,-0.031
2026-05-12,short,734.86,737.22,stop,-0.361
2026-05-13,long,738.47,742.32,eod_close,0.482
2026-05-14,long,745.88,748.09,eod_close,0.256
2026-05-15,long,741.92,739.09,eod_close,-0.421
2026-05-18,short,737.56,738.56,eod_close,-0.176
2026-05-19,short,733.09,736.28,stop,-0.475
2026-05-20,short,734.27,737.23,stop,-0.443
2026-05-21,short,737.41,740.14,stop,-0.41
2026-05-22,short,745.67,748.16,stop,-0.374
2026-05-26,long,751.12,749.15,stop,-0.302
2026-05-27,short,749.24,750.48,eod_close,-0.206
2026-05-28,long,750.39,754.64,eod_close,0.526
2026-05-29,long,757.91,755.5,stop,-0.358
2026-06-01,long,756.77,759.4,eod_close,0.307
2026-06-02,long,757.77,759.46,eod_close,0.183
2026-06-03,short,754.74,754.19,eod_close,0.033
2026-06-04,long,753.7,757.06,eod_close,0.406
2026-06-05,short,748.67,737.43,eod_close,1.461
2026-06-08,long,744.51,740.81,stop,-0.537
2026-06-09,short,743.28,737.05,eod_close,0.798
2026-06-10,long,736.98,731.5,stop,-0.784
2026-06-11,long,731.56,726.36,stop,-0.751
2026-06-12,long,740.8,741.63,eod_close,0.072
2026-06-15,long,754.09,754.66,eod_close,0.036
2026-06-16,short,754.0,750.39,eod_close,0.439
2026-06-17,long,751.77,749.86,stop,-0.294
