date,direction,entry,exit,reason,ret_pct
2026-02-23,short,681.57,683.14,cross,-0.27
2026-02-23,long,683.14,681.81,cross,-0.235
2026-02-23,short,681.81,682.4,eod_close,-0.127
2026-02-24,long,686.21,686.9,cross,0.061
2026-02-24,short,686.9,687.51,cross,-0.129
2026-02-24,long,687.51,687.36,eod_close,-0.062
2026-02-25,long,690.82,693.1,eod_close,0.29
2026-02-26,short,688.29,687.52,cross,0.072
2026-02-26,long,687.52,689.32,eod_close,0.222
2026-02-27,long,685.63,684.05,cross,-0.27
2026-02-27,short,684.05,685.22,cross,-0.211
2026-02-27,long,685.22,685.74,eod_close,0.036
2026-03-02,long,684.73,685.28,cross,0.04
2026-03-02,short,685.28,686.93,cross,-0.281
2026-03-02,long,686.93,686.01,cross,-0.174
2026-03-02,short,686.01,686.78,eod_close,-0.152
2026-03-03,long,675.27,680.28,eod_close,0.702
2026-03-04,long,684.52,685.96,cross,0.17
2026-03-04,short,685.96,685.16,eod_close,0.076
2026-03-05,short,679.14,678.24,cross,0.093
2026-03-05,long,678.24,681.41,eod_close,0.427
2026-03-06,long,674.91,672.89,cross,-0.339
2026-03-06,short,672.89,675.83,cross,-0.477
2026-03-06,long,675.83,673.88,cross,-0.329
2026-03-06,short,673.88,672.46,eod_close,0.171
2026-03-09,long,668.86,668.82,cross,-0.046
2026-03-09,short,668.82,670.05,cross,-0.224
2026-03-09,long,670.05,678.32,eod_close,1.194
2026-03-10,long,681.43,678.61,cross,-0.454
2026-03-10,short,678.61,677.05,eod_close,0.19
2026-03-11,short,675.46,676.29,cross,-0.163
2026-03-11,long,676.29,674.53,cross,-0.3
2026-03-11,short,674.53,675.74,cross,-0.22
2026-03-11,long,675.74,676.35,eod_close,0.05
2026-03-12,short,667.32,669.54,cross,-0.373
2026-03-12,long,669.54,667.81,cross,-0.299
2026-03-12,short,667.81,669.72,cross,-0.326
2026-03-12,long,669.72,668.7,cross,-0.193
2026-03-12,short,668.7,666.87,eod_close,0.233
2026-03-13,short,665.84,664.56,cross,0.151
2026-03-13,long,664.56,663.53,cross,-0.195
2026-03-13,short,663.53,662.3,eod_close,0.145
2026-03-16,long,669.66,668.48,cross,-0.216
2026-03-16,short,668.48,669.28,cross,-0.159
2026-03-16,long,669.28,668.34,cross,-0.179
2026-03-16,short,668.34,669.52,cross,-0.216
2026-03-16,long,669.52,668.97,cross,-0.122
2026-03-16,short,668.97,668.95,eod_close,-0.037
2026-03-17,short,672.44,671.91,cross,0.039
2026-03-17,long,671.91,671.29,cross,-0.132
2026-03-17,short,671.29,671.84,cross,-0.122
2026-03-17,long,671.84,670.9,cross,-0.18
2026-03-17,short,670.9,670.75,eod_close,-0.017
2026-03-18,short,666.86,661.57,eod_close,0.753
2026-03-19,long,658.11,656.82,cross,-0.236
2026-03-19,short,656.82,658.36,cross,-0.275
2026-03-19,long,658.36,657.17,cross,-0.222
2026-03-19,short,657.17,658.36,cross,-0.221
2026-03-19,long,658.36,656.48,cross,-0.326
2026-03-19,short,656.48,658.45,cross,-0.34
2026-03-19,long,658.45,659.72,eod_close,0.153
2026-03-20,short,652.47,653.7,cross,-0.229
2026-03-20,long,653.7,652.51,cross,-0.222
2026-03-20,short,652.51,648.52,eod_close,0.571
2026-03-23,long,661.46,658.72,cross,-0.453
2026-03-23,short,658.72,658.06,cross,0.06
2026-03-23,long,658.06,657.6,cross,-0.11
2026-03-23,short,657.6,655.38,eod_close,0.298
2026-03-24,long,655.7,653.59,cross,-0.362
2026-03-24,short,653.59,654.58,cross,-0.191
2026-03-24,long,654.58,653.82,cross,-0.156
2026-03-24,short,653.82,653.18,eod_close,0.058
2026-03-25,short,655.14,658.1,cross,-0.492
2026-03-25,long,658.1,657.2,cross,-0.177
2026-03-25,short,657.2,657.66,cross,-0.11
2026-03-25,long,657.66,657.58,cross,-0.052
2026-03-25,short,657.58,656.72,eod_close,0.091
2026-03-26,short,651.88,645.1,eod_close,1.0
2026-03-27,short,639.41,640.97,cross,-0.284
2026-03-27,long,640.97,639.52,cross,-0.265
2026-03-27,short,639.52,634.08,eod_close,0.811
2026-03-30,short,636.41,637.56,cross,-0.221
2026-03-30,long,637.56,636.35,cross,-0.23
2026-03-30,short,636.35,632.02,eod_close,0.64
2026-03-31,long,641.74,640.63,cross,-0.213
2026-03-31,short,640.63,641.27,cross,-0.14
2026-03-31,long,641.27,650.24,eod_close,1.358
2026-04-01,long,656.93,656.79,cross,-0.061
2026-04-01,short,656.79,656.16,cross,0.057
2026-04-01,long,656.16,655.24,cross,-0.179
2026-04-01,short,655.24,655.18,eod_close,-0.031
2026-04-02,long,655.19,652.72,cross,-0.417
2026-04-02,short,652.72,653.57,cross,-0.17
2026-04-02,long,653.57,653.28,cross,-0.084
2026-04-02,short,653.28,654.23,cross,-0.185
2026-04-02,long,654.23,653.23,cross,-0.193
2026-04-02,short,653.23,653.98,cross,-0.155
2026-04-02,long,653.98,653.66,cross,-0.089
2026-04-02,short,653.66,654.34,cross,-0.144
2026-04-02,long,654.34,655.88,eod_close,0.195
2026-04-06,short,657.35,657.85,cross,-0.117
2026-04-06,long,657.85,657.29,cross,-0.125
2026-04-06,short,657.29,657.62,cross,-0.09
2026-04-06,long,657.62,656.08,cross,-0.274
2026-04-06,short,656.08,658.36,cross,-0.388
2026-04-06,long,658.36,658.89,eod_close,0.04
2026-04-07,short,653.02,655.43,cross,-0.41
2026-04-07,long,655.43,655.49,cross,-0.031
2026-04-07,short,655.49,656.68,cross,-0.222
2026-04-07,long,656.68,659.26,eod_close,0.353
2026-04-08,short,673.4,674.86,cross,-0.257
2026-04-08,long,674.86,674.88,cross,-0.037
2026-04-08,short,674.88,675.31,cross,-0.104
2026-04-08,long,675.31,675.86,eod_close,0.041
2026-04-09,long,676.42,678.89,cross,0.325
2026-04-09,short,678.89,680.02,cross,-0.206
2026-04-09,long,680.02,679.88,eod_close,-0.061
2026-04-10,long,681.56,680.45,cross,-0.203
2026-04-10,short,680.45,679.58,cross,0.088
2026-04-10,long,679.58,679.11,cross,-0.109
2026-04-10,short,679.11,679.31,eod_close,-0.069
2026-04-13,long,679.67,686.0,eod_close,0.891
2026-04-14,long,691.42,692.3,cross,0.087
2026-04-14,short,692.3,693.58,cross,-0.226
2026-04-14,long,693.58,694.4,eod_close,0.078
2026-04-15,long,697.36,696.16,cross,-0.211
2026-04-15,short,696.16,697.21,cross,-0.19
2026-04-15,long,697.21,699.84,eod_close,0.337
2026-04-16,long,701.35,700.82,cross,-0.116
2026-04-16,short,700.82,700.81,cross,-0.039
2026-04-16,long,700.81,701.55,eod_close,0.066
2026-04-17,long,710.2,709.52,cross,-0.135
2026-04-17,short,709.52,710.04,eod_close,-0.113
2026-04-20,short,706.94,707.96,cross,-0.185
2026-04-20,long,707.96,707.79,cross,-0.064
2026-04-20,short,707.79,708.69,eod_close,-0.167
2026-04-21,short,707.41,706.66,cross,0.066
2026-04-21,long,706.66,703.22,cross,-0.527
2026-04-21,short,703.22,704.15,eod_close,-0.172
2026-04-22,long,709.91,709.58,cross,-0.086
2026-04-22,short,709.58,709.72,cross,-0.06
2026-04-22,long,709.72,709.44,cross,-0.079
2026-04-22,short,709.44,709.96,cross,-0.112
2026-04-22,long,709.96,709.54,cross,-0.098
2026-04-22,short,709.54,709.91,cross,-0.091
2026-04-22,long,709.91,711.21,eod_close,0.143
2026-04-23,long,712.06,710.52,cross,-0.256
2026-04-23,short,710.52,708.92,cross,0.185
2026-04-23,long,708.92,707.13,cross,-0.293
2026-04-23,short,707.13,708.48,cross,-0.231
2026-04-23,long,708.48,707.34,cross,-0.201
2026-04-23,short,707.34,708.46,eod_close,-0.198
2026-04-24,long,711.64,713.97,eod_close,0.287
2026-04-27,short,713.13,713.94,cross,-0.154
2026-04-27,long,713.94,715.15,eod_close,0.129
2026-04-28,short,710.64,710.6,cross,-0.034
2026-04-28,long,710.6,711.68,eod_close,0.112
2026-04-29,long,710.67,710.81,cross,-0.02
2026-04-29,short,710.81,710.46,cross,0.009
2026-04-29,long,710.46,708.84,cross,-0.268
2026-04-29,short,708.84,710.38,cross,-0.258
2026-04-29,long,710.38,711.58,eod_close,0.128
2026-04-30,long,714.21,718.42,eod_close,0.549
2026-05-01,short,723.0,723.26,cross,-0.077
2026-05-01,long,723.26,722.5,cross,-0.145
2026-05-01,short,722.5,722.96,cross,-0.104
2026-05-01,long,722.96,721.83,cross,-0.196
2026-05-01,short,721.83,722.25,cross,-0.098
2026-05-01,long,722.25,721.29,cross,-0.173
2026-05-01,short,721.29,720.65,eod_close,0.049
2026-05-04,short,718.77,718.57,cross,-0.012
2026-05-04,long,718.57,717.64,cross,-0.169
2026-05-04,short,717.64,717.98,cross,-0.087
2026-05-04,long,717.98,717.75,cross,-0.072
2026-05-04,short,717.75,718.14,cross,-0.094
2026-05-04,long,718.14,717.52,cross,-0.126
2026-05-04,short,717.52,718.07,eod_close,-0.117
2026-05-05,long,723.42,723.71,eod_close,0.001
2026-05-06,long,732.19,730.88,cross,-0.219
2026-05-06,short,730.88,731.66,cross,-0.147
2026-05-06,long,731.66,733.77,eod_close,0.248
2026-05-07,long,735.38,733.98,cross,-0.23
2026-05-07,short,733.98,731.57,eod_close,0.288
2026-05-08,long,736.4,736.95,cross,0.035
2026-05-08,short,736.95,737.46,cross,-0.109
2026-05-08,long,737.46,737.53,eod_close,-0.031
2026-05-11,long,739.31,739.1,cross,-0.068
2026-05-11,short,739.1,740.31,cross,-0.204
2026-05-11,long,740.31,739.51,cross,-0.148
2026-05-11,short,739.51,739.21,eod_close,0.001
2026-05-12,short,732.95,734.34,cross,-0.229
2026-05-12,long,734.34,738.2,eod_close,0.486
2026-05-13,long,739.24,742.32,eod_close,0.377
2026-05-14,long,748.45,747.44,cross,-0.175
2026-05-14,short,747.44,748.25,cross,-0.148
