date,direction,entry,exit,reason,ret_pct
2026-02-23,long,685.28,684.93,stop,-0.091
2026-02-23,long,684.77,683.67,stop,-0.201
2026-02-23,long,683.56,682.8,stop,-0.15
2026-02-23,long,682.26,681.31,stop,-0.179
2026-02-23,long,681.18,680.69,stop,-0.112
2026-02-23,long,681.57,681.35,stop,-0.072
2026-02-23,long,680.62,681.16,stop,0.039
2026-02-23,long,681.11,680.71,stop,-0.099
2026-02-23,long,680.98,682.4,eod_close,0.17
2026-02-24,short,685.16,686.33,stop,-0.21
2026-02-24,short,686.14,687.02,stop,-0.168
2026-02-24,short,687.3,687.34,stop,-0.046
2026-02-24,short,687.45,687.5,stop,-0.047
2026-02-24,short,687.44,687.4,stop,-0.035
2026-02-24,short,687.16,687.51,stop,-0.091
2026-02-24,short,687.38,687.97,stop,-0.126
2026-02-24,short,687.56,687.67,stop,-0.055
2026-02-24,short,687.73,687.64,stop,-0.028
2026-02-24,short,687.72,687.36,eod_close,0.012
2026-02-25,long,690.6,691.15,revert_vwap,0.039
2026-02-25,long,690.41,690.94,revert_vwap,0.037
2026-02-25,short,691.47,693.1,eod_close,-0.276
2026-02-26,long,690.33,689.98,stop,-0.091
2026-02-26,long,688.58,686.43,stop,-0.353
2026-02-26,long,685.32,688.56,revert_vwap,0.432
2026-02-26,long,686.24,687.88,revert_vwap,0.198
2026-02-27,short,683.92,684.24,revert_vwap,-0.087
2026-02-27,short,685.59,685.74,eod_close,-0.062
2026-03-02,short,684.24,684.21,stop,-0.036
2026-03-02,short,684.92,682.97,revert_vwap,0.245
2026-03-02,short,684.12,685.5,stop,-0.242
2026-03-02,short,685.31,683.22,revert_vwap,0.265
2026-03-02,short,685.14,686.44,stop,-0.23
2026-03-02,short,686.46,686.12,stop,0.01
2026-03-02,short,686.24,686.32,stop,-0.052
2026-03-02,short,686.11,687.04,stop,-0.176
2026-03-02,short,687.03,686.82,stop,-0.009
2026-03-02,short,687.14,687.22,stop,-0.051
2026-03-02,short,687.22,687.68,stop,-0.107
2026-03-02,short,687.7,688.2,stop,-0.113
2026-03-02,short,688.37,688.26,stop,-0.023
2026-03-02,short,688.06,688.3,stop,-0.075
2026-03-02,short,688.46,688.42,stop,-0.034
2026-03-02,short,688.02,686.78,eod_close,0.141
2026-03-03,long,672.18,671.06,stop,-0.207
2026-03-03,long,670.45,669.85,stop,-0.129
2026-03-03,long,671.02,673.48,revert_vwap,0.326
2026-03-03,short,674.54,680.28,eod_close,-0.891
2026-03-04,short,683.11,685.16,eod_close,-0.34
2026-03-05,long,682.84,681.04,stop,-0.303
2026-03-05,long,680.82,682.33,revert_vwap,0.182
2026-03-05,long,679.3,677.34,stop,-0.329
2026-03-05,long,678.01,677.26,stop,-0.151
2026-03-05,long,676.46,676.47,stop,-0.039
2026-03-05,long,676.48,679.81,revert_vwap,0.452
2026-03-06,short,672.83,670.98,revert_vwap,0.235
2026-03-06,short,673.23,672.89,revert_vwap,0.011
2026-03-06,short,675.83,672.93,revert_vwap,0.389
2026-03-06,long,671.92,672.46,eod_close,0.04
2026-03-09,short,665.84,663.52,revert_vwap,0.309
2026-03-09,long,663.13,665.29,revert_vwap,0.286
2026-03-09,short,666.04,673.42,stop,-1.148
2026-03-09,short,675.13,677.39,stop,-0.375
